d,t1,t2,s1,s2,win1,win2
2025-11-15,Mexico,Uruguay,0,0,False,False
2025-11-15,United States,Paraguay,2,1,True,False
2025-11-15,Switzerland,Sweden,4,1,True,False
2025-11-17,Cape Verde,Egypt,1,1,False,False
2025-11-18,Saudi Arabia,Algeria,0,2,False,True
2025-11-18,Brazil,Tunisia,1,1,False,False
2025-11-18,Colombia,Australia,3,0,True,False
2025-11-18,Ecuador,New Zealand,2,0,True,False
2025-11-18,South Korea,Ghana,1,0,True,False
2025-11-18,Mexico,Paraguay,1,2,False,True
2025-11-18,United States,Uruguay,5,1,True,False
2025-11-18,Spain,Turkey,2,2,False,False
2025-11-18,Austria,Bosnia and Herzegovina,1,1,False,False
2025-11-18,Iran,Uzbekistan,0,0,False,False
2025-12-07,Qatar,Tunisia,0,3,False,True
2025-12-08,Morocco,Saudi Arabia,1,0,True,False
2025-12-09,Egypt,Jordan,0,3,False,True
2025-12-09,Algeria,Iraq,2,0,True,False
2025-12-12,Jordan,Iraq,1,0,True,False
2025-12-15,Saudi Arabia,Jordan,0,1,False,True
2025-12-18,Jordan,Morocco,2,3,False,True
2025-12-26,Egypt,South Africa,1,0,True,False
2025-12-27,Senegal,DR Congo,1,1,False,False
2026-01-06,Algeria,DR Congo,1,0,True,False
2026-01-10,Egypt,Ivory Coast,3,2,True,False
2026-01-14,Senegal,Egypt,1,0,True,False
2026-01-18,Morocco,Senegal,3,0,True,False
2026-01-22,Panama,Mexico,0,1,False,True
2026-03-26,Brazil,France,1,2,False,True
2026-03-26,Colombia,Croatia,1,2,False,True
2026-03-27,Austria,Ghana,5,1,True,False
2026-03-27,England,Uruguay,1,1,False,False
2026-03-27,Morocco,Ecuador,1,1,False,False
2026-03-27,Netherlands,Norway,2,1,True,False
2026-03-27,Saudi Arabia,Egypt,0,4,False,True
2026-03-27,South Africa,Panama,1,1,False,False
2026-03-27,Switzerland,Germany,3,4,False,True
2026-03-28,Haiti,Tunisia,0,1,False,True
2026-03-28,Ivory Coast,South Korea,4,0,True,False
